АВС/ DEF;От;До;Емкость;Оператор;Регион;Территория ГАР;ИНН
983;5945000;5945999;1000;ПАО "МТС";Республика Алтай;Республика Алтай;7740000076
983;5946000;5946999;1000;ПАО "МТС";Республика Тыва;Республика Тыва;7740000076
983;5947000;5949999;3000;ПАО "МТС";Республика Алтай;Республика Алтай;7740000076
983;5950000;5969999;20000;ПАО "МТС";Кемеровская обл.;Кемеровская область - Кузбасс;7740000076
983;5970000;5989999;20000;ПАО "Мобильные ТелеСистемы";Томская обл.;Томская область;7740000076
983;5990000;5999999;10000;ПАО "Мобильные ТелеСистемы";Красноярский край;Красноярский край;7740000076
983;6000000;6099999;100000;ПАО "Мобильные ТелеСистемы";Алтайский край;Алтайский край;7740000076
983;6100000;6199999;100000;ПАО "Мобильные ТелеСистемы";Красноярский край;Красноярский край;7740000076
983;6200000;6279999;80000;ПАО "Мобильные ТелеСистемы";Омская обл.;Омская область;7740000076
983;6280000;6299999;20000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.;Новосибирская область;7740000076
983;6300000;6399999;100000;ПАО "Мобильные ТелеСистемы";Республика Бурятия;Республика Бурятия;7740000076
983;6600000;6600999;1000;ПАО "Мобильные ТелеСистемы";Омская обл.;Омская область;7740000076
983;6601000;6610999;10000;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253
983;6611000;6611999;1000;ПАО "Мобильные ТелеСистемы";Омская обл.;Омская область;7740000076
983;6612000;6649999;38000;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253
983;6650000;6659999;10000;АО "МТТ";г. Санкт-Петербург и Ленинградская область;Город Санкт-Петербург, Ленинградская область;7705017253
983;6660000;6669999;10000;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253
983;6777000;6777999;1000;ПАО "Мобильные ТелеСистемы";Томская обл.;Томская область;7740000076
983;6900000;6999999;100000;ПАО "Мобильные ТелеСистемы";Иркутская обл.;Иркутская область;7740000076
983;7000000;7000999;1000;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253
983;7001000;7004499;3500;ООО "ЭКСПРЕСС МОБАЙЛ";Ростовская обл.;Ростовская область;6163225548
983;7004500;7005499;1000;ООО "МИАТЕЛ";г. Санкт-Петербург и Ленинградская область;Город Санкт-Петербург, Ленинградская область;7841482919
983;7770000;7779999;10000;ООО "СПРИНТ";Республика Дагестан;Республика Дагестан;7723613650
983;8880000;8889999;10000;ПАО "ВЫМПЕЛКОМ";Москва и Московская область;Город Москва, Московская область;7713076301
983;9990000;9999999;10000;ПАО "ВЫМПЕЛКОМ";Москва и Московская область;Город Москва, Московская область;7713076301
984;0000000;0009999;10000;ООО "БЕЗЛИМИТ";г. Москва * Московская область;Город Москва, Московская область;9725007063
984;1000000;1249999;250000;ПАО "Мобильные ТелеСистемы";Республика Саха /Якутия/;Республика Саха (Якутия);7740000076
984;1250000;1299999;50000;ПАО "Мобильные ТелеСистемы";Еврейская автономная обл.;Еврейская автономная область;7740000076
984;1300000;1399999;100000;ПАО "Мобильные ТелеСистемы";Сахалинская обл.;Сахалинская область;7740000076
984;1400000;1599999;200000;ПАО "Мобильные ТелеСистемы";Приморский край;Приморский край;7740000076
984;1600000;1699999;100000;ПАО "Мобильные ТелеСистемы";Камчатский край;Камчатский край;7740000076
984;1700000;1799999;100000;ПАО "Мобильные ТелеСистемы";Хабаровский край;Хабаровский край;7740000076
984;1800000;1849999;50000;ПАО "Мобильные ТелеСистемы";Сахалинская обл.;Сахалинская область;7740000076
984;1850000;1879999;30000;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253
984;1880000;2149999;270000;ПАО "Мобильные ТелеСистемы";Приморский край;Приморский край;7740000076
984;2150000;2199999;50000;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253
984;2200000;2299999;100000;ПАО "Мобильные ТелеСистемы";Приморский край;Приморский край;7740000076
984;2300000;2319999;20000;АО "МТТ";г. Санкт-Петербург и Ленинградская область;Город Санкт-Петербург, Ленинградская область;7705017253
984;2320000;2324999;5000;АО "МТТ";Республика Татарстан;Республика Татарстан;7705017253
984;2325000;2330999;6000;АО "МТТ";Ростовская обл.;Ростовская область;7705017253
984;2331000;2335999;5000;АО "МТТ";Свердловская обл.;Свердловская область;7705017253
984;2336000;2337999;2000;АО "МТТ";Красноярский край;Красноярский край;7705017253
984;2338000;2339999;2000;АО "МТТ";Пермский край;Пермский край;7705017253
984;2340000;2344999;5000;АО "МТТ";Республика Башкортостан;Республика Башкортостан;7705017253
984;2345000;2346999;2000;АО "МТТ";Саратовская обл.;Саратовская область;7705017253
984;2347000;2351999;5000;АО "МТТ";Ярославская обл.;Ярославская область;7705017253
984;2352000;2354999;3000;АО "МТТ";Архангельская обл.;Архангельская область;7705017253
984;2355000;2359999;5000;АО "МТТ";Белгородская обл.;Белгородская область;7705017253
984;2360000;2364999;5000;АО "МТТ";Калининградская обл.;Калининградская область;7705017253
984;2365000;2369999;5000;АО "МТТ";Ставропольский край;Ставропольский край;7705017253
984;2370000;2374999;5000;АО "МТТ";Тульская обл.;Тульская область;7705017253
984;2375000;2376999;2000;АО "МТТ";Амурская обл.;Амурская область;7705017253
984;2377000;2380999;4000;АО "МТТ";Владимирская обл.;Владимирская область;7705017253
984;2381000;2385999;5000;АО "МТТ";Забайкальский край;Забайкальский край;7705017253
984;2386000;2389999;4000;АО "МТТ";Камчатский край;Камчатский край;7705017253
984;2390000;2394999;5000;АО "МТТ";Костромская обл.;Костромская область;7705017253
984;2395000;2397999;3000;АО "МТТ";Липецкая обл.;Липецкая область;7705017253
984;2398000;2399999;2000;АО "МТТ";Мурманская обл.;Мурманская область;7705017253
984;2500000;2509999;10000;ПАО "Мобильные ТелеСистемы";Хабаровский край;Хабаровский край;7740000076
984;2510000;2549999;40000;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253
984;2550000;2559999;10000;ПАО "Мобильные ТелеСистемы";Хабаровский край;Хабаровский край;7740000076
984;2560000;2569999;10000;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253
984;2600000;2659999;60000;ПАО "Мобильные ТелеСистемы";Хабаровский край;Хабаровский край;7740000076
984;2660000;2699999;40000;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253
984;2700000;2799999;100000;ПАО "Мобильные ТелеСистемы";Иркутская обл.;Иркутская область;7740000076
984;2800000;2999999;200000;ПАО "Мобильные ТелеСистемы";Хабаровский край;Хабаровский край;7740000076
984;3000000;3199999;200000;ПАО "Мобильные ТелеСистемы";Иркутская обл.;Иркутская область;7740000076
984;3200000;3329999;130000;АО "МТТ";Москва и Московская область;Город Москва, Московская область;7705017253
984;3330000;3339999;10000;ООО "Интернод";г. Москва и Московская область;Город Москва, Московская область;7733808377
984;4440000;4449999;10000;ООО "СПРИНТ";г. Москва и Московская область;Город Москва, Московская область;7723613650
984;4450000;4451999;2000;ООО "Новые мобильные коммуникации";Алтайский край;Алтайский край;7727443720
984;4452000;4453999;2000;ООО "Новые мобильные коммуникации";Архангельская обл.;Архангельская область;7727443720
984;4454000;4455999;2000;ООО "Новые мобильные коммуникации";Белгородская обл.;Белгородская область;7727443720
984;4456000;4457999;2000;ООО "Новые мобильные коммуникации";Брянская обл.;Брянская область;7727443720
984;4458000;4459999;2000;ООО "Новые мобильные коммуникации";Владимирская обл.;Владимирская область;7727443720
984;4460000;4461999;2000;ООО "Новые мобильные коммуникации";Волгоградская обл.;Волгоградская область;7727443720
984;4462000;4463999;2000;ООО "Новые мобильные коммуникации";Вологодская обл.;Вологодская область;7727443720
984;4464000;4465999;2000;ООО "Новые мобильные коммуникации";Воронежская обл.;Воронежская область;7727443720
984;4466000;4467999;2000;ООО "Новые мобильные коммуникации";Еврейская автономная обл.;Еврейская автономная область;7727443720
984;4468000;4469999;2000;ООО "Новые мобильные коммуникации";Ивановская обл.;Ивановская область;7727443720
984;4470000;4471999;2000;ООО "Новые мобильные коммуникации";Иркутская обл.;Иркутская область;7727443720
984;4472000;4473999;2000;ООО "Новые мобильные коммуникации";Калининградская обл.;Калининградская область;7727443720
984;4474000;4475999;2000;ООО "Новые мобильные коммуникации";Калужская обл.;Калужская область;7727443720
984;4476000;4477999;2000;ООО "Новые мобильные коммуникации";Камчатский край;Камчатский край;7727443720
984;4478000;4481999;4000;ООО "Новые мобильные коммуникации";Кемеровская обл.;Кемеровская область - Кузбасс;7727443720
984;4482000;4483999;2000;ООО "Новые мобильные коммуникации";Кировская обл.;Кировская область;7727443720
